No.,Reaction number in iLL672,ORF,glucose(aerobe),glucose (anaerobe),galactose,glycerol,ethanol,Plate,row,col,ORF,gene name(s),brief id 
24,    'not included in iLL672',YAL036C,,,,,,1,B,12,YAL036C,FUN11,"similar to Xenopus GTP-binding protein DRG, biological_process unknown, molecular_function unknown, cellular_component unknown"
25,    'not included in iLL672',YAL035W,,,,,,1,C,1,YAL035W,FUN12,"97 kDa protein, molecular_function unknown, similarity to Ifm1p"
26,    'not included in iLL672',YAL034C,,,,,,1,C,2,YAL034C,FUN19,"Function unknown now, biological_process unknown, molecular_function unknown, cellular_component unknown"
27,    'not included in iLL672',YAL031C,,,,,,1,C,3,YAL031C,FUN21,"FUN21, biological_process unknown, molecular_function unknown, cellular_component unknown"
28,    'not included in iLL672',YAL030W,,,,,,1,C,4,YAL030W,SNC1,"homolog of Snc2p, vesicle-associated membrane protein (synaptobrevin) homolog, forms a complex with Snc2p and Sec9p, endocytosis*, v-SNARE, Golgi-plasma membrane transport vesicle"
29,    'not included in iLL672',YAL029C,,,,,,1,C,5,YAL029C,"MYO4, FUN22","myosin, mRNA localization, intracellular, microfilament motor, actin cap (sensu Saccharomyces)"
30,    'not included in iLL672',YAL028W,,,,,,1,C,6,YAL028W,,"biological_process unknown, molecular_function unknown, cellular_component unknown"
31,    'not included in iLL672',YAL027W,,,,,,1,C,7,YAL027W,,"biological_process unknown, molecular_function unknown, "
32,    'not included in iLL672',YAL026C,,,,,,1,C,8,YAL026C,"DRS2, FUN38","Membrane-spanning Ca-ATPase (P-type),member of the cation transport (E1-E2) ATPases, post Golgi transport, adenosinetriphosphatase*, Golgi membrane"
33,    'part of iLL672',YAL023C,,,,,,1,C,9,YAL023C,"PMT2, FUN25","dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase, O-linked glycosylation, dolichyl-phosphate-mannose--protein mannosyltransferase, endoplasmic reticulum"
34,    'not included in iLL672',YAL022C,,,,,,1,C,10,YAL022C,FUN26,"predicted membrane protein, biological_process unknown, molecular_function unknown, "
35,    'not included in iLL672',YAL021C,,,,,,1,C,11,YAL021C,"CCR4, FUN27, NUT21","95 kDa containng leucine rich tandem repeats,  transcriptional regulator "
36,    'not included in iLL672',YAL020C,,,,,,1,C,12,YAL020C,"ATS1, FUN28","similarity to human RCC1 protein, microtubule-based process, molecular_function unknown, cell"
37,    'not included in iLL672',YAL019W,,,,,,1,D,1,YAL019W,FUN30,"SNF2 protein family, biological_process unknown, molecular_function unknown, "
38,    'not included in iLL672',YAL018C,,,,,,1,D,2,YAL018C,,"3 transmembrane domains, biological_process unknown, molecular_function unknown, "
39,    'not included in iLL672',YAL017W,,,,,,1,D,3,YAL017W,FUN31,"Serine threonine kinase, biological_process unknown, protein serine/threonine kinase, cellular_component unknown"
40,    'not included in iLL672',YAL015C,,,,,,1,D,4,YAL015C,"NTG1, FUN33","DNA glycosylase, DNA repair, endonuclease*, nucleus*"
41,    'not included in iLL672',YAL014C,,,,,,1,D,5,YAL014C,,"biological_process unknown, molecular_function unknown, "
42,    'not included in iLL672',YAL013W,,,,,,1,D,6,YAL013W,"DEP1, FUN54","regulation of phospholipid metabolism, phospholipid metabolism,"
43,    'not included in iLL672',YAL011W,,,,,,1,D,7,YAL011W,,"possible mitochondrial transit peptide, biological_process unknown, molecular_function unknown, "
44,    'not included in iLL672',YAL010C,,,,,,1,D,8,YAL010C,"MDM10, FUN37","Mitochondrial outer membrane protein involved in mitochondrial morphology and inheritance, mitochondrion inheritance*, molecular_function unknown, mitochondrial outer membrane"
45,    'not included in iLL672',YAL009W,,,0,0,0,1,D,9,YAL009W,SPO7,"sporulation protein, meiosis, molecular_function unknown, "
46,    'not included in iLL672',YAL008W,,,,,,1,D,10,YAL008W,FUN14,"biological_process unknown, molecular_function unknown, cellular_component unknown"
47,    'not included in iLL672',YAL007C,,,,,,1,D,11,YAL007C,ERP2,"p24 protein involved in membrane trafficking,molecular_function unknown, "
48,    'not included in iLL672',YAL004W,,,,,,1,D,12,YAL004W,,"biological_process unknown, molecular_function unknown, cellular_component unknown"
49,    'not included in iLL672',YAL005C,,,,,,1,E,1,YAL005C,"SSA1, YG100","Heat shock protein of HSP70 family, cytoplasmic, protein folding*, adenosinetriphosphatase*, nucleus*"
50,    'not included in iLL672',YAL002W,,,,,,1,E,2,YAL002W,"VPS8, FUN15, VPT8","Vps8p is a membrane-associated hydrophilic protein which contains a C-terminal cysteine-rich region that conforms to the H2 variant of the RING finger Zn2+ binding motif.,molecular_function unknown,"
51,    'not included in iLL672',YAR002W,,,,,,1,E,3,YAR002W,NUP60,nuclear pore protein 
52,    'not included in iLL672',YAR003W,,,,,,1,E,4,YAR003W,,"beta transducin domain, biological_process unknown, molecular_function unknown, "
53,    'not included in iLL672',YAR014C,,,,,,1,E,5,YAR014C,BUD14,"maximal growth, biological_process unknown, molecular_function unknown, "
54,    'part of iLL672',YAR015W,0,0,0,0,0,1,E,6,YAR015W,ADE1,"phosphoribosyl amino imidazolesuccinocarbozamide synthetase,phosphoribosylaminoimidazole-succinocarboxamide synthase, "
55,    'not included in iLL672',YAR018C,,,,,,1,E,7,YAR018C,"KIN3, FUN52, NPK1","protein kinase, biological_process unknown, protein kinase,"
56,    'not included in iLL672',YAR020C,,,,,,1,E,8,YAR020C,PAU7,"similar to Pau3, member of Pau1 family, biological_process unknown, molecular_function unknown, "
57,    'not included in iLL672',YAR023C,,,,,,1,E,9,YAR023C,,"membrane protein, biological_process unknown, molecular_function unknown, "
58,    'not included in iLL672',YAR027W,,,,,,1,E,10,YAR027W,,"membrane protein, biological_process unknown, molecular_function unknown, "
59,    'not included in iLL672',YAR028W,,,,,,1,E,11,YAR028W,,"membrane protein, biological_process unknown, molecular_function unknown, "
60,    'not included in iLL672',YAR029W,,,,,,1,E,12,YAR029W,,"membrane protein, biological_process unknown, molecular_function unknown, "
61,    'not included in iLL672',YAR031W,,,,,,1,F,1,YAR031W,PRM9,"membrane protein, mating (sensu Saccharomyces), molecular_function unknown, integral membrane protein"
62,    'not included in iLL672',YAR030C,,,,,,1,F,2,YAR030C,,"biological_process unknown, molecular_function unknown, "
63,    'not included in iLL672',YAR035W,,,,,,1,F,3,YAR035W,YAT1,"Outer carnitine acetyltransferase, mitochondrial,carnitine O-acetyltransferase, "
64,    'not included in iLL672',YAR037W,,,,,,1,F,4,YAR037W,,
65,    'not included in iLL672',YAR040C,,,,,,1,F,5,YAR040C,,
66,    'not included in iLL672',YAR042W,,,,,,1,F,6,YAR042W,SWH1,"ankyrin repeat, biological_process unknown, molecular_function unknown, "
67,    'not included in iLL672',YAR043C,,,,,,1,F,7,YAR043C,,
68,    'not included in iLL672',YAR044W,,,,,,1,F,8,YAR044W,OSH1,Shows homology to the human oxysterol binding protein (OSBP) 
69,    'not included in iLL672',YAR047C,,,,,,1,F,9,YAR047C,,"predicted nuclear targeting signal, biological_process unknown, molecular_function unknown, "
70,    'not included in iLL672',YJL218W,,,,,,1,F,10,YJL218W,,"biological_process unknown, molecular_function unknown, "
71,    'not included in iLL672',YJL217W,,,,,,1,F,11,YJL217W,,"biological_process unknown, molecular_function unknown, "
72,    'part of iLL672',YJL216C,,,,,,1,F,12,YJL216C,,alpha-glucosidase 
73,    'not included in iLL672',YJL215C,,,,,,1,G,1,YJL215C,,"biological_process unknown, molecular_function unknown, "
74,    'part of iLL672',YJL214W,,,,,,1,G,2,YJL214W,HXT8,"hexose permease, transport,"
75,    'not included in iLL672',YJL212C,,,,,,1,G,3,YJL212C,"OPT1, HGT1","Oligopeptide transporter; Opt1p transports tetra- and pentapeptides, including the endogenous opioid pentapeptide leucine enkephalin., transport, oligopeptide transporter,"
76,    'not included in iLL672',YJL210W,,,,,,1,G,4,YJL210W,"PEX2, CRT1, PAS5","CH3HC4 zinc-binding integral peroxisomal membrane protein, peroxisome organization and biogenesis, molecular_function unknown, cellular_component unknown"
77,    'not included in iLL672',YJL211C,,,,,,1,G,5,YJL211C,,"biological_process unknown, molecular_function unknown, "
78,    'not included in iLL672',YJL209W,,,0,0,0,1,G,6,YJL209W,CBP1,"involved in control of mRNA stablility,molecular_function unknown, "
79,    'not included in iLL672',YJL208C,,,,,,1,G,7,YJL208C,NUC1,"mitochondrial nuclease, DNA recombination, endodeoxyribonuclease*, mitochondrial inner membrane"
80,    'not included in iLL672',YJL207C,,,,,,1,G,8,YJL207C,,"biological_process unknown,"
81,    'not included in iLL672',YJL206C,,,,,,1,G,9,YJL206C,,"biological_process unknown, molecular_function unknown, "
82,    'not included in iLL672',YJL206C-A,,,,,,1,G,10,YJL206C-A,,
83,    'not included in iLL672',YJL204C,,,,,,1,G,11,YJL204C,,"function unknown,  weak similarity to Tor2p"
84,    'not included in iLL672',YJL201W,,,,,,1,G,12,YJL201W,ECM25,"(putative) involved in cell wall biogenesis,molecular_function unknown, "
85,    'part of iLL672',YJL200C,,,,,,1,H,1,YJL200C,,aconitate hydratase 
86,    'not included in iLL672',YJL199C,,,,,,1,H,2,YJL199C,,"biological_process unknown, molecular_function unknown, "
87,    'not included in iLL672',YJL198W,,,,,,1,H,3,YJL198W,,"biological_process unknown, molecular_function unknown, "
88,    'not included in iLL672',YJL197W,,,,,,1,H,4,YJL197W,UBP12,"ubiquitin carboxyl-terminal hydrolase, deubiquitylation, ubiquitin-specific protease, cellular_component unknown"
89,    'part of iLL672',YJL196C,,,,,,1,H,5,YJL196C,ELO1,"Elongation enzyme 1, fatty acid metabolism,"
90,    'not included in iLL672',YJL193W,,,,,,1,H,6,YJL193W,,"biological_process unknown, molecular_function unknown, "
91,    'not included in iLL672',YJL192C,,,,,,1,H,7,YJL192C,,"biological_process unknown, molecular_function unknown, "
92,    'not included in iLL672',YJL191W,,,,,,1,H,8,YJL191W,"RPS14B, CRY2","Ribosomal protein S14B (rp59B), protein biosynthesis*, structural protein of ribosome*, cytosolic small ribosomal (40S)-subunit"
93,    'not included in iLL672',YJL190C,,,,,,1,H,9,YJL190C,"RPS22A, RPS24","Ribosomal protein S22A (S24A) (rp50) (YS22), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit"
94,    'not included in iLL672',YJL189W,,,,,,1,H,10,YJL189W,"RPL39, PUB2, RPL46, SPB2","Ribosomal protein L39 (L46) (YL40), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit"
95,    'not included in iLL672',YJL188C,,,,,,1,H,11,YJL188C,BUD19,"biological_process unknown, molecular_function unknown, "
96,    'not included in iLL672',YJL187C,,,,,,1,H,12,YJL187C,"SWE1, WEE1","protein kinase homolog, cell cycle,"
97,    'not included in iLL672',YJL186W,,,,,,2,A,1,YJL186W,MNN5,"putative Golgi alpha-1,2-mannosyltransferase, protein glycosylation,"
98,    'not included in iLL672',YJL185C,,,,,,2,A,2,YJL185C,,"biological_process unknown, molecular_function unknown, "
99,    'not included in iLL672',YJL183W,,,,,,2,A,3,YJL183W,MNN11,"member of a cis Golgi complex that is involved in mannan synthesis, other complex members include Mnn10p, Hoc1p, Anp1p, Mnn9p"
100,    'not included in iLL672',YJL181W,,,,,,2,A,4,YJL181W,,"biological_process unknown, molecular_function unknown, "
101,    'not included in iLL672',YJL182C,,,,,,2,A,5,YJL182C,,"biological_process unknown, molecular_function unknown, "
102,    'not included in iLL672',YJL180C,,,0,0,0,2,A,6,YJL180C,ATP12,"involved F1F0-ATPase complex assembly, protein complex assembly, chaperone, mitochondrial matrix"
103,    'not included in iLL672',YJL179W,,,,,,2,A,7,YJL179W,PFD1,"bovine prefoldin subunit 1 homolog, protein folding"
104,    'not included in iLL672',YJL178C,,,,,,2,A,8,YJL178C,,"biological_process unknown, molecular_function unknown, "
105,    'not included in iLL672',YJL176C,,,,,,2,A,9,YJL176C,"SWI3, TYE2","transcription factor, chromatin modeling, non-specific RNA polymerase II transcription factor, nucleosome remodeling complex"
106,    'not included in iLL672',YJL172W,,,,,,2,A,10,YJL172W,CPS1,"carboxypeptidase yscS,gly-X carboxypeptidase, "
107,    'not included in iLL672',YJL171C,,,,,,2,A,11,YJL171C,,"biological_process unknown, molecular_function unknown, "
108,    'not included in iLL672',YJL170C,,,,,,2,A,12,YJL170C,ASG7,"An a-specific gene that is induced to a higher expression level by alpha factor, mating (sensu Saccharomyces), molecular_function unknown, cellular_component unknown"
109,    'not included in iLL672',YJL169W,,,,,,2,B,1,YJL169W,,"biological_process unknown, molecular_function unknown, "
110,    'not included in iLL672',YJL168C,,,,,,2,B,2,YJL168C,"SET2, EZL1",transcription factor containing a SET domain 
111,    'part of iLL672',YJL166W,,,,,,2,B,3,YJL166W,"QCR8, COR5","Ubiquinol cytochrome-c reductase subunit 8 (11 kDa protein),ubiquinol-cytochrome-c reductase,"
112,    'not included in iLL672',YJL165C,,,,,,2,B,4,YJL165C,HAL5,(putative) protein kinase 
113,    'not included in iLL672',YJL164C,,,,,,2,B,5,YJL164C,"TPK1, PKA1, SRA3","putative catalytic subunit of cAMP-dependent protein kinase, protein phosphorylation*, protein serine/threonine kinase*, cytoplasm*"
114,    'not included in iLL672',YJL163C,,,,,,2,B,6,YJL163C,,"biological_process unknown, molecular_function unknown, "
115,    'not included in iLL672',YJL162C,,,,,,2,B,7,YJL162C,,"biological_process unknown, molecular_function unknown, "
116,    'not included in iLL672',YJL161W,,,,,,2,B,8,YJL161W,,"biological_process unknown, molecular_function unknown, "
117,    'not included in iLL672',YJL159W,,,,,,2,B,9,YJL159W,"HSP150, CCW7, ORE1, PIR2","Heat shock protein, secretory glycoprotein, cell wall organization and biogenesis, cell wall structural protein, cell wall"
118,    'not included in iLL672',YJL158C,,,,,,2,B,10,YJL158C,"CIS3, CCW11","Protein with homology to Hsp150p and Pir1p, Pir2p, and Pir3p, cell wall organization and biogenesis, cell wall structural protein, cell wall*"
119,    'not included in iLL672',YJL157C,,,,,,2,B,11,YJL157C,FAR1,"Cdc28p kinase inhibitor, cell cycle arrest, cyclin-dependent protein kinase inhibitor, nucleus*"
120,    'part of iLL672',YJL155C,,,,,,2,B,12,YJL155C,FBP26,"Fructose-2,6-biphosphatase,fructose-2,6-bisphosphate 2-phosphatase, "
121,    'not included in iLL672',YJL154C,,,,,,2,C,1,YJL154C,"VPS35, GRD9, VPT7",retromer complex component 
122,    'part of iLL672',YJL153C,,,,,,2,C,2,YJL153C,"INO1, APR1","L-myo-inositol-1-phosphate synthase,myo-inositol-1-phosphate synthase,"
123,    'not included in iLL672',YJL152W,,,,,,2,C,3,YJL152W,,"biological_process unknown, molecular_function unknown, "
124,    'not included in iLL672',YJL151C,,,,,,2,C,4,YJL151C,,"biological_process unknown, molecular_function unknown, "
125,    'not included in iLL672',YJL150W,,,,,,2,C,5,YJL150W,,"biological_process unknown, molecular_function unknown, "
126,    'not included in iLL672',YJL149W,,,,,,2,C,6,YJL149W,,"biological_process unknown, molecular_function unknown, "
127,    'not included in iLL672',YJL148W,,,,,,2,C,7,YJL148W,RPA34,"unshared RNA polymerase I subunit, transcription from Pol I promoter, DNA-directed RNA polymerase I, DNA-directed RNA polymerase I"
128,    'not included in iLL672',YJL147C,,,,,,2,C,8,YJL147C,,"biological_process unknown, molecular_function unknown, "
129,    'not included in iLL672',YJL146W,,,,,,2,C,9,YJL146W,IDS2,"(putative) involved in meiosis, meiosis, molecular_function unknown, cellular_component unknown"
130,    'not included in iLL672',YJL145W,,,,,,2,C,10,YJL145W,,"biological_process unknown, molecular_function unknown, "
131,    'not included in iLL672',YJL144W,,,,,,2,C,11,YJL144W,,"biological_process unknown, molecular_function unknown, "
132,    'not included in iLL672',YJL142C,,,,,,2,C,12,YJL142C,,"biological_process unknown, molecular_function unknown, "
133,    'not included in iLL672',YJL140W,,,,,,2,D,1,YJL140W,"RPB4, CTF15","fourth-largest subunit of RNA polymerase II, transcription from Pol II promoter, DNA-directed RNA polymerase II, DNA-directed RNA polymerase II"
134,    'not included in iLL672',YJL139C,,,,,,2,D,2,YJL139C,YUR1,"mannosyltransferase, N-linked glycosylation*, mannosyltransferase, Golgi apparatus"
135,    'not included in iLL672',YJL138C,,,,,,2,D,3,YJL138C,TIF2,"translation initiation factor eIF4A, protein synthesis initiation*, translation initiation factor*, cytoplasm*"
136,    'not included in iLL672',YJL135W,,,,,,2,D,4,YJL135W,,"biological_process unknown, molecular_function unknown, "
137,    'part of iLL672',YJL134W,,,,,,2,D,5,YJL134W,"LCB3, LBP1, YSR2","putative plasma membrane transporter capable of transporting sphingoid long chain bases into cells, sphingolipid metabolism,"
138,    'not included in iLL672',YJL133W,,,,,,2,D,6,YJL133W,MRS3,"mitochondrial carrier protein, transport*, carrier, mitochondrion"
139,    'not included in iLL672',YJL131C,,,,,,2,D,7,YJL131C,,"biological_process unknown, molecular_function unknown, "
140,    'part of iLL672',YJL130C,,,,,,2,D,8,YJL130C,URA2,"carbamoyl-phophate synthetase, aspartate transcarbamylase, and glutamine amidotransferase,aspartate carbamoyltransferase, "
141,    'not included in iLL672',YJL129C,,,,,,2,D,9,YJL129C,TRK1,"180 kDa high affinity potassium transporter, transport,"
142,    'not included in iLL672',YJL127C,,,,,,2,D,10,YJL127C,"SPT10, CRE1, SUD1","negative transcriptional regulator, chromatin modeling, molecular_function unknown, nucleus"
143,    'not included in iLL672',YJL126W,,,,,,2,D,11,YJL126W,NIT2,"nitrilase superfamily member, biological_process unknown, molecular_function unknown, cellular_component unknown"
144,    'not included in iLL672',YJL124C,,,,,,2,D,12,YJL124C,"LSM1, SPB8",involved in mRNA stablity 
145,    'not included in iLL672',YJL123C,,,,,,2,E,1,YJL123C,,"biological_process unknown, molecular_function unknown, "
146,    'not included in iLL672',YJL122W,,,,,,2,E,2,YJL122W,,"biological_process unknown, molecular_function unknown, "
147,    'not included in iLL672',YJL120W,,,,,,2,E,3,YJL120W,,"biological_process unknown, molecular_function unknown, "
148,    'part of iLL672',YJL121C,,,,,,2,E,4,YJL121C,"RPE1, EPI1, POS18","D-ribulose-5-Phosphate 3-epimerase,ribulose-phosphate 3-epimerase,"
149,    'not included in iLL672',YJL118W,,,,,,2,E,5,YJL118W,,"biological_process unknown, molecular_function unknown, "
150,    'not included in iLL672',YJL119C,,,,,,2,E,6,YJL119C,,"biological_process unknown, molecular_function unknown, "
151,    'not included in iLL672',YJL117W,,,,,,2,E,7,YJL117W,PHO86,"Putative inorganic phosphate transporter, transport,"
152,    'not included in iLL672',YJL116C,,,,,,2,E,8,YJL116C,NCA3,involved in regulating expression of F0F1 ATPase subunits 
153,    'not included in iLL672',YJL115W,,,,,,2,E,9,YJL115W,ASF1,"involved in silencing, transcription,"
154,    'not included in iLL672',YJL112W,,,,,,2,E,10,YJL112W,"MDV1, FIS2, GAG3","Mitochondrial DiVision, mitochondrial genome maintenance*, molecular_function unknown, mitochondrial outer membrane"
155,    'not included in iLL672',YJL110C,,,,,,2,E,11,YJL110C,"GZF3, DEH1, NIL2","GATA zinc finger protein 3 homologous to Dal80 in structure and function,transcription factor,"
156,    'not included in iLL672',YJL108C,,,,,,2,E,12,YJL108C,PRM10,"Pheromone-regulated Membrane Protein, mating (sensu Saccharomyces), molecular_function unknown, integral membrane protein"
157,    'not included in iLL672',YJL107C,,,,,,2,F,1,YJL107C,,"biological_process unknown, molecular_function unknown, "
158,    'not included in iLL672',YJL106W,,,,,,2,F,2,YJL106W,IME2,"Serine Threonine protein kinase, positively regulated by IME1 "
159,    'not included in iLL672',YJL102W,,,0,0,0,2,F,3,YJL102W,MEF2,"mitochondrial elongation factor G-like protein, protein synthesis elongation, translation elongation factor, mitochondrion"
160,    'part of iLL672',YJL100W,,,,,,2,F,4,YJL100W,,"biological_process unknown, molecular_function unknown, "
161,    'not included in iLL672',YJL099W,,,,,,2,F,5,YJL099W,"CHS6, CSD3",involved in chitin biosynthesis 
162,    'not included in iLL672',YJL098W,,,,,,2,F,6,YJL098W,SAP185,"Sit4p-associated protein, G1/S transition of mitotic cell cycle, protein serine/threonine phosphatase, cytoplasm"
163,    'not included in iLL672',YJL096W,,,0,0,0,2,F,7,YJL096W,MRPL49,"mitochondrial ribosomal protein of the large subunit, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit"
164,    'not included in iLL672',YJL095W,,,,,,2,F,8,YJL095W,"BCK1, LAS3, SAP3, SLK1, SSP31","MEKK serine threonine kinase, establishment of cell polarity (sensu Saccharomyces)*, MAP kinase kinase, cellular_component unknown"
165,    'not included in iLL672',YJL093C,,,,,,2,F,9,YJL093C,"TOK1, DUK1, YKC1, YORK","outward-rectifier potassium channel, transport,"
166,    'not included in iLL672',YJL092W,,,,,,2,F,10,YJL092W,"HPR5, RADH, RADH1, SRS2","DNA helicase, DNA repair, DNA helicase, nucleus"
167,    'not included in iLL672',YJL089W,,,,,,2,F,11,YJL089W,SIP4,"shows homology to DNA binding domain of Gal4p, has a leucine zipper motif and acidic region; lexA-Sip4p activates transcription,transcription factor, "
168,    'part of iLL672',YJL088W,0,0,0,0,0,2,F,12,YJL088W,ARG3,"Ornithine carbamoyltransferase, arginine biosynthesis*, ornithine carbamoyltransferase, cytosol"
169,    'not included in iLL672',YJL084C,,,,,,2,G,1,YJL084C,,"biological_process unknown, molecular_function unknown, "
170,    'not included in iLL672',YJL083W,,,,,,2,G,2,YJL083W,,"biological_process unknown, molecular_function unknown, "
171,    'not included in iLL672',YJL082W,,,,,,2,G,3,YJL082W,IML2,"Similar to Ykr018p,molecular_function unknown, "
172,    'not included in iLL672',YJL080C,,,,,,2,G,4,YJL080C,SCP160,"May be required during cell division for faithful partitioning of the ER-nuclear envelope membranes, involved in control of mitotic chromsome transmission,molecular_function unknown, "
173,    'not included in iLL672',YJL079C,,,,,,2,G,5,YJL079C,PRY1,"Similar to plant PR-1 class of pathogen related proteins, biological_process unknown, molecular_function unknown, "
174,    'not included in iLL672',YJL077C,,,,,,2,G,6,YJL077C,ICS3,"Increased Copper Sensitivity,molecular_function unknown, "
175,    'not included in iLL672',YJL075C,,,,,,2,G,7,YJL075C,,"biological_process unknown, molecular_function unknown, "
176,    'not included in iLL672',YJL073W,,,,,,2,G,8,YJL073W,JEM1,ER chaperone 
177,    'part of iLL672',YJL071W,, ,,,,2,G,9,YJL071W,"ARG2, HRB574","Acetylglutamate Synthase, ornithine biosynthesis, amino acid N-acetyltransferase, mitochondrial matrix"
178,    'part of iLL672',YJL068C,,,,,,2,G,10,YJL068C,, 
179,    'not included in iLL672',YJL067W,,,,,,2,G,11,YJL067W,,"biological_process unknown, molecular_function unknown, "
180,    'not included in iLL672',YJL066C,,,,,,2,G,12,YJL066C,MPM1,"biological_process unknown, molecular_function unknown, "
181,    'not included in iLL672',YJL064W,,,,,,2,H,1,YJL064W,,"biological_process unknown, molecular_function unknown, "
182,    'not included in iLL672',YJL065C,,,,,,2,H,2,YJL065C,,"biological_process unknown, molecular_function unknown, "
183,    'not included in iLL672',YJL063C,,,0,0,0,2,H,3,YJL063C,"MRPL8, HRD238, YML8","Mitochondrial ribosomal protein MRPL8 (YmL8) (E. coli L17), protein biosynthesis*, structural protein of ribosome, mitochondrial large ribosomal-subunit"
184,    'not included in iLL672',YJL062W,,,,,,2,H,4,YJL062W,"LAS21, GPI7","putative membrane protein, a member of the major facilitator super family, biological_process unknown,"
185,    'not included in iLL672',YJL060W,,,,,,2,H,5,YJL060W,,"biological_process unknown, molecular_function unknown, "
186,    'not included in iLL672',YJL059W,,,,,,2,H,6,YJL059W,"YHC3, BTN1","Homolog of human CLN3, biological_process unknown, molecular_function unknown,"
187,    'not included in iLL672',YJL058C,,,,,,2,H,7,YJL058C,,"biological_process unknown, molecular_function unknown, "
188,    'not included in iLL672',YJL057C,,,,,,2,H,8,YJL057C,IKS1,"probable serine threonine kinase,protein kinase, "
189,    'not included in iLL672',YJL056C,,,,,,2,H,9,YJL056C,ZAP1,"Metalloregulatory protein involved in zinc-responsive transcriptional regulation, transcription regulation from Pol II promoter*, specific RNA polymerase II transcription factor, "
190,    'not included in iLL672',YJL055W,,,,,,2,H,10,YJL055W,,"biological_process unknown, molecular_function unknown, "
191,    'not included in iLL672',YJL053W,,,,,,2,H,11,YJL053W,"PEP8, GRD6, VPS26, VPT4",Vacuolar protein similar to mouse gene H<beta>58 
192,    'part of iLL672',YJL052W,,,,,,2,H,12,YJL052W,"TDH1, GLD3","Glyceraldehyde-3-phosphate dehydrogenase 1, glycolysis*, glyceraldehyde 3-phosphate dehydrogenase (phosphorylating), cytosol*"
193,    'not included in iLL672',YJL051W,,,,,,3,A,1,YJL051W,,"biological_process unknown, molecular_function unknown, "
194,    'not included in iLL672',YJL049W,,,,,,3,A,2,YJL049W,,"biological_process unknown, molecular_function unknown, "
